title,description,usage,category_name,classification,code_system,code_display,code_value,diagnostic_report_system,diagnostic_report_display,diagnostic_report_code,specimen_names,observation_names,
Complete blood count,"A broad blood test that measures red cells, white cells, hemoglobin, hematocrit, and platelets.","Used to assess overall health, screen for anemia, infections, inflammation, bleeding issues, and blood disorders.",Laboratory,laboratory,http://snomed.info/sct,Complete blood count,26604007,http://loinc.org,CBC W Auto Differential panel - Blood,57021-8,Complete blood count,Complete blood count,
Hemoglobin (Venipuncture),"Measures the concentration of hemoglobin in blood to assess anemia, polycythemia, and overall oxygen-carrying capacity.","Used routinely in CBC to evaluate blood disorders, monitor treatment, and assess general health.",Laboratory,laboratory,http://snomed.info/sct,Hemoglobin (Venipuncture),271026005,http://loinc.org,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin (Venipuncture),Hemoglobin (Venipuncture),
Hemoglobin (Finger Prick),"Measures the concentration of hemoglobin in blood to assess anemia, polycythemia, and overall oxygen-carrying capacity.","Used routinely in CBC to evaluate blood disorders, monitor treatment, and assess general health.",Laboratory,laboratory,http://snomed.info/sct,Hemoglobin (Finger Prick),271026005,http://loinc.org,Hemoglobin [Mass/volume] in Capillary blood,30352-9,Hemoglobin (Finger Prick),Hemoglobin (Finger Prick),
Total leucocyte count,Measures the number of white blood cells in the blood to assess immune activity.,"Used to check for infections, inflammation, immune disorders, or abnormal WBC levels.",Laboratory,laboratory,http://snomed.info/sct,Total leucocyte count,42396003,http://loinc.org,Invalid,1749545,Total leucocyte count,Total leucocyte count,
Differential leucocyte count,Breaks down the different types of white blood cells present in the blood.,"Used to evaluate infections, inflammation, allergies, and blood disorders by identifying changes in specific WBC types.",Laboratory,laboratory,http://snomed.info/sct,Differential leucocyte count,165511009,http://loinc.org,CBC W Auto Differential panel - Blood,57021-8,Differential leucocyte count,Differential leucocyte count,
Platelet count,"Measures the number of platelets in the blood, which help in clotting.","Used to evaluate bleeding tendencies, clotting disorders, bone marrow function, and monitor treatment affecting platelets.",Laboratory,laboratory,http://snomed.info/sct,Platelet count,61928009,http://loinc.org,Platelets [#/volume] in Blood by Automated count,777-3,Platelet count,Platelet count,
MCH,Measures the average amount of hemoglobin present in each red blood cell.,Used to classify types of anemia and assess red blood cell disorders.,Laboratory,laboratory,http://snomed.info/sct,MCH,54706004,http://loinc.org,MCH [Entitic mass] by Automated count,785-6,Absolute eosinophil count,Absolute eosinophil count,
MCHC,Measures the average concentration of hemoglobin within red blood cells.,Used to assess red cell hemoglobinization and help classify types of anemia,Laboratory,laboratory,http://snomed.info/sct,MCHC,37254006,http://loinc.org,MCHC [Mass/volume] by Automated count,786-4,Peripheral blood film,Peripheral blood film,
MCV,Measures the average size (volume) of red blood cells.,"Used to classify anemia as microcytic, normocytic, or macrocytic.",Laboratory,laboratory,http://snomed.info/sct,MCV,104133003,http://loinc.org,MCV [Entitic volume] by Automated count,787-2,Blood group (ABO),Blood group (ABO),
MPV,Measurement of mean platelet volume,Used to assess platelet production and help evaluate bleeding or clotting disorders.,Laboratory,laboratory,http://snomed.info/sct,MPV,75672003,http://loinc.org,Platelet mean volume [Entitic volume] in Blood by Automated count,32623-1,Blood group (Rh typing),Blood group (Rh typing),
RDW,Red cell distribution width determination,Used to differentiate types of anemia and assess red blood cell size variability.,Laboratory,laboratory,http://snomed.info/sct,RDW,66842004,http://loinc.org,Erythrocyte distribution width [Ratio],30385-9,Blood cross matching,Blood cross matching,
PDW,"Measures the variation in platelet size distribution in the blood, indicating platelet heterogeneity.","Used to differentiate between causes of thrombocytopenia, evaluate platelet production disorders, and assist in diagnosing reactive versus destructive thrombocytopenia.",Laboratory,laboratory,http://snomed.info/sct,PDW,250313005,http://loinc.org,Platelet distribution width [Entitic volume] in Blood by Automated count,32207-3,Bleeding time,Bleeding time,
Platelet count and morphology.,"Measures the number of platelets in the blood and evaluates their size, shape, and structural characteristics on a peripheral smear.","Used to assess bleeding risk, diagnose thrombocytopenia or thrombocytosis, evaluate platelet disorders, and monitor treatment affecting platelet production or function.",Laboratory,laboratory,http://snomed.info/sct,Platelet count and morphology.,61928009,http://loinc.org,Platelets [#/volume] in Blood by Automated count,777-3,Clotting time,Clotting time,
Absolute eosinophil count,Measures the total number of eosinophils in the blood.,"Used to evaluate allergic conditions, parasitic infections, drug reactions, and eosinophilic disorders.",Laboratory,laboratory,http://snomed.info/sct,Absolute eosinophil count,71960002,http://loinc.org,Eosinophils [#/volume] in Blood by Automated count,711-2,Blood sugar-Venipuncture,Blood sugar-Venipuncture,
Peripheral blood film,"A microscopic examination of a stained blood smear to study the size, shape, and appearance of blood cells.","Used to evaluate anemia types, infections, blood cell abnormalities, and to confirm findings from the CBC.",Laboratory,laboratory,http://snomed.info/sct,Peripheral blood film,14768001,http://loinc.org,Blood smear finding [Identifier] in Blood,104701-8,Blood sugar-Finger prick,Blood sugar-Finger prick,
Erythrocyte sedimentation rate,"Measures how quickly red blood cells settle in a tube, reflecting inflammation in the body.","Used to detect and monitor inflammatory conditions, infections, autoimmune disorders, and some chronic diseases.",Laboratory,laboratory,http://snomed.info/sct,Erythrocyte sedimentation rate,416838001,http://loinc.org,Erythrocyte sedimentation rate,30341-2,S. Bilirubin (T),S. Bilirubin (T),2
Absolute neutrophil count,Measures the number of neutrophils in the blood.,Used to assess infection risk and monitor neutropenia or bone marrow function.,Laboratory,laboratory,http://snomed.info/sct,Absolute neutrophil count,30630007,http://loinc.org,Neutrophils [#/volume] in Blood by Automated count,751-8,S. Bilirubin direct and indirect,S. Bilirubin direct and indirect,
"Coagulation Profile (PT ,INR, aPTT)","A panel of tests that evaluates the blood clotting mechanism, typically including PT, INR, aPTT, and fibrinogen levels.","Used to assess bleeding disorders, monitor anticoagulant therapy, evaluate liver function related to clotting factor production, and preoperative screening for surgical procedures.",Laboratory,laboratory,http://snomed.info/sct,"Coagulation Profile (PT ,INR, aPTT)",103800002,http://loinc.org,PT and aPTT panel - Platelet poor plasma by Coagulation assay,34529-8,Serum creatinine,Serum creatinine,
Routine Hematoxylin and Eosin (H&E) staining,A standard histopathological staining technique that stains cell nuclei blue-purple (hematoxylin) and cytoplasm/extracellular matrix pink (eosin) on tissue sections.,"Used for routine microscopic examination of tissue biopsies to identify cellular structures, diagnose diseases including cancers, infections, and inflammatory conditions.",Laboratory,laboratory,http://snomed.info/sct,Routine Hematoxylin and Eosin (H&E) staining,104210008,http://loinc.org,Microscopic observation [Identifier] in Tissue by Hematoxylin and eosin stain,6665-4,Blood Urea,Blood Urea,
Prothrombin Time (PT) and INR,Measures how long blood takes to clot and standardizes clotting time using INR.,"Used to assess clotting function, monitor warfarin therapy, and detect bleeding or liver disorders.",Laboratory,laboratory,http://snomed.info/sct,Prothrombin Time (PT) and INR,396451008,http://loinc.org,Invalid,1461733,SGPT,SGPT,
Activated partial thromboplastin time,Measures the time it takes for blood to clot through the intrinsic and common coagulation pathways.,"Used to evaluate bleeding disorders, monitor heparin therapy, and assess overall coagulation status.",Laboratory,laboratory,http://snomed.info/sct,Activated partial thromboplastin time,42525009,http://loinc.org,Activated partial thromboplastin time (aPTT) in Platelet poor plasma by Coagulation assay -- after addition of protein C activator/Activated partial thromboplastin time (aPTT),52767-1,SGOT,SGOT,
Bleeding time,Measures the time taken for bleeding to stop after a standardized skin puncture.,"Used to screen for platelet function defects, clotting disorders, and to assess basic hemostasis.",Laboratory,laboratory,http://snomed.info/sct,Bleeding time,26769008,http://loinc.org,Bleeding time,11067-6,S. Alkaline Phosphatase,S. Alkaline Phosphatase,2
Clotting time,Measures the time taken for blood to clot after it is drawn into a test tube.,Used to assess the intrinsic coagulation pathway and overall clotting function,Laboratory,laboratory,http://snomed.info/sct,Clotting time,165566005,http://loinc.org,Clotting time of Capillary blood by Sukharev method,81638-9,S. Total Protein,S. Total Protein,2
Blood group (ABO),"Determines the ABO blood group (A, B, AB, or O) of an individual.","Used for safe blood transfusions, pregnancy care, and pre-surgical evaluation.",Laboratory,laboratory,http://snomed.info/sct,Blood group (ABO),82383000,http://loinc.org,ABO group [Type] in Blood,883-9,S. Albumin,S. Albumin,2
Blood group (Rh typing),Determines the presence or absence of the Rh (D) antigen on red blood cells.,Used to prevent transfusion reactions and manage Rh incompatibility in pregnancy.,Laboratory,laboratory,http://snomed.info/sct,Blood group (Rh typing),363783003,http://loinc.org,Rh [Type] in Blood,10331-7,AG ratio ,AG ratio ,2
Blood cross matching,Checks compatibility between donor blood and recipient blood before transfusion.,Used to prevent transfusion reactions by ensuring the donor’s red cells and recipient’s serum are compatible.,Laboratory,laboratory,http://snomed.info/sct,Blood cross matching,16742006,http://loinc.org,Blood type and Crossmatch panel - Blood,34531-4,S. Globulin,S. Globulin,2
Coombs test direct with titre,Detects antibodies or complement attached to the surface of red blood cells.,"Used to investigate hemolytic anemia, transfusion reactions, and hemolytic disease of the newborn",Laboratory,laboratory,http://snomed.info/sct,Coombs test direct with titre,77020008,http://loinc.org,Direct antiglobulin test.unspecified reagent [Presence] on Red Blood Cells,51006-5,S. Total Cholesterol,S. Total Cholesterol,
Coombs test indirect with titre,Detects free antibodies in the patient’s serum that may react with red blood cells.,"Used for pre-transfusion testing, antenatal screening for Rh incompatibility, and assessing risk of hemolytic disease in the fetus/newborn.",Laboratory,laboratory,http://snomed.info/sct,Coombs test indirect with titre,16742006,http://loinc.org,Indirect antiglobulin test.unspecified reagent [Titer] in Serum or Plasma,56886-5,S. Triglycerides,S. Triglycerides,
Random Blood sugar (FP),Measures the level of glucose in the blood.,"Used to diagnose and monitor diabetes, hypoglycemia, and metabolic health.",Laboratory,laboratory,http://snomed.info/sct,Random Blood sugar (FP),36048009,http://loinc.org,Glucose [Mass/volume] in Capillary blood by Glucometer,41653-7,S. VLDL,S. VLDL,2
Random Blood sugar (V),Measures the level of glucose in the blood.,"Used to diagnose and monitor diabetes, hypoglycemia, and metabolic health.",Laboratory,laboratory,http://snomed.info/sct,Random Blood sugar (V),36048009,http://loinc.org,Glucose [Mass/volume] in Serum or Plasma,2345-7,S. HDL,S. HDL,2
Fasting Blood Sugar (FP),Measures the level of glucose in the blood.,"Used to diagnose and monitor diabetes, hypoglycemia, and metabolic health.",Laboratory,laboratory,http://snomed.info/sct,Fasting Blood Sugar (FP),36048009,http://loinc.org,Fasting glucose [Mass/volume] in Capillary blood,1556-0,S. LDL,S. LDL,2
Fasting Blood Sugar (V),Measures the level of glucose in the blood.,"Used to diagnose and monitor diabetes, hypoglycemia, and metabolic health.",Laboratory,laboratory,http://snomed.info/sct,Fasting Blood Sugar (V),36048009,http://loinc.org,Fasting glucose [Mass/volume] in Venous blood,1557-8,S. GGT,S. GGT,2
PPBS (FP),Measures the level of glucose in the blood.,"Used to diagnose and monitor diabetes, hypoglycemia, and metabolic health.",Laboratory,laboratory,http://snomed.info/sct,PPBS (FP),36048009,http://loinc.org,Glucose [Moles/volume] in Capillary blood --2 hours post meal,14760-3,S. Uric acid,S. Uric acid,
PPBS (V),Measures the level of glucose in the blood.,"Used to diagnose and monitor diabetes, hypoglycemia, and metabolic health.",Laboratory,laboratory,http://snomed.info/sct,PPBS (V),36048009,http://loinc.org,Glucose [Mass/volume] in Blood --2 hours post meal,6689-4,S. Amylase,S. Amylase,
Glucose Tolerance test (GTT),Assesses how the body handles a glucose load by measuring blood sugar at set intervals.,"Used to diagnose diabetes, impaired glucose tolerance, and gestational diabetes.",Laboratory,laboratory,http://snomed.info/sct,Glucose Tolerance test (GTT),104725009,http://loinc.org,Glucose tolerance [Interpretation] in Serum or Plasma,21004-7,S. Calcium,S. Calcium,
Glycosylated haemoglobin (HbA1C),Shows the average blood glucose level over the past 2–3 months.,Used to diagnose diabetes and monitor long-term glucose control.,Laboratory,laboratory,http://snomed.info/sct,Glycosylated haemoglobin (HbA1C),408254005,http://loinc.org,Hemoglobin A1c [Mass/volume] in Blood,41995-2,S. LDH,S. LDH,
S. Bilirubin (T),"Measures the total amount of bilirubin in the blood, reflecting liver function and bile metabolism.","Used to evaluate jaundice, liver disease, hemolysis, and biliary obstruction.",Laboratory,laboratory,http://snomed.info/sct,S. Bilirubin (T),269875009,http://loinc.org,Bilirubin.total [Mass/volume] in Serum or Plasma,1975-2,S.Magnesium,S.Magnesium,
S. Bilirubin direct,Measures the conjugated (water-soluble) fraction of bilirubin in serum.,"Used to assess liver function, biliary obstruction, and hemolytic conditions.",Laboratory,laboratory,http://snomed.info/sct,S. Bilirubin direct,54462003,http://loinc.org,Bilirubin.direct [Mass/volume] in Serum or Plasma,1968-7,Hepatitis B surface antigen test,Hepatitis B surface antigen test,
S. Bilirubin indirect,"Estimates the unconjugated fraction of bilirubin, calculated from total and direct bilirubin.",Used to evaluate hemolysis and disorders of bilirubin metabolism causing unconjugated jaundice.,Laboratory,laboratory,http://snomed.info/sct,S. Bilirubin indirect,37852002,http://loinc.org,Bilirubin.indirect [Mass/volume] in Serum or Plasma,1971-1,Test for Dengue,Test for Dengue,
SGPT,"Measures alanine aminotransferase, an enzyme released when liver cells are damaged.",Used to evaluate liver health and monitor liver disease or drug-related liver injury.,Laboratory,laboratory,http://snomed.info/sct,SGPT,34608000,http://loinc.org,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,1742-6,RPR/VDRL test for syphilis,RPR/VDRL test for syphilis,
SGOT,"Measures aspartate aminotransferase, an enzyme found in the liver, heart, and other tissues.","Used to assess liver health, detect liver injury, and evaluate muscle or cardiac damage.",Laboratory,laboratory,http://snomed.info/sct,SGOT,45896001,http://loinc.org,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,1920-8,RA factor (Quantitative),RA factor (Quantitative),
S. Alkaline Phosphatase,"Measures ALP enzyme levels, which rise in liver, bile duct, and bone disorders.","Used to evaluate liver function, detect biliary obstruction, and assess bone diseases.",Laboratory,laboratory,http://snomed.info/sct,S. Alkaline Phosphatase,88810008,http://loinc.org,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,6768-6,Urine culture- Mid stream urine collection,Urine culture- Mid stream urine collection,
S. Total Protein,"Measures the total amount of proteins in the blood, mainly albumin and globulins.","Used to assess nutritional status, liver function, kidney disease, and various systemic conditions.",Laboratory,laboratory,http://snomed.info/sct,S. Total Protein,304383000,http://loinc.org,Protein [Mass/volume] in Serum or Plasma,2885-2,Urine culture- Mid stream urine collection,Urine culture- Mid stream urine collection,
S. Albumin,"Measures the level of albumin, the main protein in blood plasma produced by the liver","Used to evaluate protein balance, detect liver disease, nephrotic syndrome, and chronic illnesses.",Laboratory,laboratory,http://snomed.info/sct,S. Albumin,104485008,http://loinc.org,Albumin [Mass/volume] in Serum or Plasma,1751-7,Urinalysis complete panel,Urinalysis complete panel,
S. Globulin,"Measures the concentration of globulin proteins in the blood, which play roles in immunity and transport.","Used to evaluate immune status, liver function, protein disorders, and chronic inflammation.",Laboratory,laboratory,http://snomed.info/sct,S. Globulin,270994009,http://loinc.org,Globulin [Mass/volume] in Serum by calculation,10834-0,Urine Microscopy,Urine Microscopy,
AG ratio ,Calculates the ratio of albumin to globulin in blood.,"Used to help evaluate liver disease, kidney disorders, immune conditions, and chronic infections.",Laboratory,laboratory,http://snomed.info/sct,AG ratio ,687005,http://loinc.org,Albumin/Globulin [Mass Ratio] in Serum or Plasma,1759-0,Stool for hanging drop for Vibrio Cholera,Stool for hanging drop for Vibrio Cholera,
Serum creatinine,"Measures the level of creatinine in the blood, an indicator of kidney function.","Used to assess kidney health, diagnose renal impairment, and calculate eGFR.",Laboratory,laboratory,http://snomed.info/sct,Serum creatinine,113075003,http://loinc.org,Creatinine [Mass/volume] in Serum or Plasma,2160-0,Culture for Diptheria,Culture for Diptheria,2
Blood Urea,"Measures the amount of urea in the blood, reflecting kidney function and protein metabolism.","Used to assess renal function, dehydration, and metabolic status.",Laboratory,laboratory,http://snomed.info/sct,Blood Urea,269858003,http://loinc.org,Urea [Mass/volume] in Blood,20977-5,Throat swab for Diphtheria,Throat swab for Diphtheria,2
S. Sodium,"Measures sodium concentration in the blood, an essential electrolyte for fluid balance and nerve function.","Used to assess hydration status, electrolyte balance, kidney function, and disorders like hyponatremia or hypernatremia.",Laboratory,laboratory,http://snomed.info/sct,S. Sodium,104934005,http://loinc.org,Sodium [Moles/volume] in Serum or Plasma,2951-2,AFB examination -sputum,AFB examination -sputum,
S. Potassium,"Measures the level of potassium in the blood, an important electrolyte for heart and muscle function.","Used to assess electrolyte balance, kidney function, and monitor conditions affecting heart rhythm.",Laboratory,laboratory,http://snomed.info/sct,S. Potassium,271236005,http://loinc.org,Potassium [Moles/volume] in Serum or Plasma,2823-3,AFB examination- pus ,AFB examination- pus ,
S. Uric acid,"Measures uric acid levels in the blood, reflecting purine metabolism.","Used to evaluate gout, kidney function, metabolic disorders, and monitor therapy.",Laboratory,laboratory,http://snomed.info/sct,S. Uric acid,275740009,http://loinc.org,Urate [Mass/volume] in Serum or Plasma,3084-1,AFB examination - body fluid,AFB examination - body fluid,2
S. Total Cholesterol,Measures the total amount of cholesterol in the blood.,Used to assess cardiovascular risk and monitor lipid management.,Laboratory,laboratory,http://snomed.info/sct,S. Total Cholesterol,412808005,http://loinc.org,Cholesterol [Mass/volume] in Serum or Plasma,2093-3,Blood culture,Blood culture,
S. Triglycerides,"Measures the level of triglycerides in the blood, a key component of lipid metabolism.","Used to assess cardiovascular risk, detect metabolic disorders, and monitor treatment in dyslipidemia.",Laboratory,laboratory,http://snomed.info/sct,S. Triglycerides,271245006,http://loinc.org,Triglyceride [Moles/volume] in Serum or Plasma,14927-8,Visual Inspection Acetic Acid (VIA),Visual Inspection Acetic Acid (VIA),
S. VLDL,"Estimates the level of very-low-density lipoproteins, which carry triglycerides in the blood.","Used to assess lipid status and cardiovascular risk, often calculated from triglycerides.",Laboratory,laboratory,http://snomed.info/sct,S. VLDL,166834004,http://loinc.org,Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,13458-5,Cervix and vaginal cytology,Cervix and vaginal cytology,
S. HDL,"Measures high-density lipoprotein cholesterol, often called the protective cholesterol.",Used to assess cardiovascular risk and evaluate lipid health.,Laboratory,laboratory,http://snomed.info/sct,S. HDL,166832000,http://loinc.org,Cholesterol in HDL [Mass/volume] in Serum or Plasma,2085-9,Pap smear,Pap smear,
S. LDL,"Measures low-density lipoprotein cholesterol, the main cholesterol linked to heart disease risk.",Used to assess cardiovascular risk and guide lipid-lowering therapy.,Laboratory,laboratory,http://snomed.info/sct,S. LDL,166833005,http://loinc.org,Cholesterol in LDL [Mass/volume] in Serum or Plasma,2089-1,TB – Mantoux,TB – Mantoux,
S. GGT,"Measures GGT enzyme levels, which rise in liver and bile duct disorders.","Used to assess liver function, detect alcohol-related liver injury, and evaluate biliary obstruction.",Laboratory,laboratory,http://snomed.info/sct,S. GGT,313849004,http://loinc.org,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,2324-2,MP slide method,MP slide method,
Urinalysis complete panel,"A comprehensive urine analysis evaluating physical properties, chemical composition, and microscopic sediment examination.","Used to screen for and diagnose urinary tract infections, kidney diseases, metabolic disorders such as diabetes, liver disease, and to monitor overall renal health.",Laboratory,laboratory,http://snomed.info/sct,Urinalysis complete panel,117339008,http://loinc.org,Urinalysis complete panel - Urine,24356-8,Malaria rapid test,Malaria rapid test,2
Urine Sugar (Test strip),"Used to screen for diabetes mellitus, monitor glycemic control, or detect renal glucose loss.","Screens urine for glucose, commonly used in diabetes assessment.",Laboratory,laboratory,http://snomed.info/sct,Urine Sugar (Test strip),69376001,http://loinc.org,Invalid,1421708,Human chorionic gonadotropin (HCG) (Urine test for pregnancy),Human chorionic gonadotropin (HCG) (Urine test for pregnancy),2
Urine culture- Mid stream urine collection,Detects and identifies bacteria or fungi causing urinary tract infections.,"Used to diagnose UTI, guide antibiotic treatment, and evaluate recurrent or complicated infections.",Laboratory,laboratory,http://snomed.info/sct,Urine culture- Mid stream urine collection,104194007,http://loinc.org,Bacteria identified in Urine by Culture,630-4,Erythrocyte sedimentation rate,Erythrocyte sedimentation rate,2
Urine Microscopy,"Microscopic examination of urine to identify cells, crystals, casts, and microorganisms.","Used to diagnose urinary tract infections, kidney diseases, hematuria, and metabolic disorders.",Laboratory,laboratory,http://snomed.info/sct,Urine Microscopy,27260001,http://loinc.org,Urinary tract pathogens panel - Urine by Culture,12235-8,Coombs test direct with titre,Coombs test direct with titre,2
S.Chloride,"Measures chloride levels in the blood, a key electrolyte involved in fluid balance and acid–base regulation.","Used to assess hydration status, kidney function, acid–base disorders, and electrolyte imbalance.",Laboratory,laboratory,http://snomed.info/sct,S.Chloride,271238006,http://loinc.org,Microscopic observation [Identifier] in Urine sediment by Light microscopy,2075-0,Coombs test indirect with titre,Coombs test indirect with titre,
S.Ionised Calcium,Measures the biologically active (free) form of calcium in the blood.,"Used to assess calcium disorders more accurately than total calcium, especially in critical care, kidney disease, and parathyroid disorders.",Laboratory,laboratory,http://snomed.info/sct,S.Ionised Calcium,391084000,http://loinc.org,Chloride [Moles/volume] in Serum or Plasma,17863-2,Sickling Test for Sickle cell anemia*,Sickling Test for Sickle cell anemia*,
S. Lipase,"Measures the level of lipase enzyme in the serum, which is primarily produced by the pancreas to break down fats.","Used to diagnose and monitor acute pancreatitis, evaluate pancreatic disorders, and differentiate pancreatic from non-pancreatic causes of abdominal pain.",,laboratory,http://snomed.info/sct,S. Lipase,271232007,http://loinc.org,Calcium.ionized [Mass/volume] in Serum or Plasma,3040-3,Prothrombin Time (PT) and INR,Prothrombin Time (PT) and INR,
S. Calcium,"Measures total calcium in the blood, essential for bone health, nerve signals, and muscle function.","Used to assess bone metabolism, parathyroid function, kidney disease, and calcium disorders.",Laboratory,laboratory,http://snomed.info/sct,S. Calcium,271240001,http://loinc.org,Lipase [Enzymatic activity/volume] in Serum or Plasma,17861-6,Activated partial thromboplastin time,Activated partial thromboplastin time,
S.Magnesium,"Measures magnesium levels in the blood, essential for muscle function, nerve activity, and enzyme processes.","Used to evaluate electrolyte imbalance, kidney disorders, cardiac issues, and causes of muscle cramps or arrhythmias.",Laboratory,laboratory,http://snomed.info/sct,S.Magnesium,63571001,http://loinc.org,Calcium [Mass/volume] in Serum or Plasma,19123-9,HIV test (Antibodies 1 and 2) ,HIV test (Antibodies 1 and 2) ,
S. Iron,Measures the amount of circulating iron bound to transferrin in the blood.,"Used to evaluate iron deficiency, iron overload, and disorders of iron metabolism.",Laboratory,laboratory,http://snomed.info/sct,S. Iron,250216004,http://loinc.org,Magnesium [Mass/volume] in Serum or Plasma,2498-4,IgM antibody to hepatitis B core antigen (IgM anti-HBc),IgM antibody to hepatitis B core antigen (IgM anti-HBc),
CRP(including new born) (Quantitative),"Measures C-reactive protein levels in the blood, a marker of inflammation or infection.","Used to detect and monitor infections, inflammatory conditions, and sepsis; also used in newborns to evaluate early-onset infections.",Laboratory,laboratory,http://snomed.info/sct,CRP(including new born) (Quantitative),135842001,http://loinc.org,Iron [Mass/volume] in Serum or Plasma,30522-7,HCV Antibody Test (Anti HCV),HCV Antibody Test (Anti HCV),
